brand_ko,brand_en,country,tier,category,capacity,model_name,model_year,variant,danawa_pcode
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,엘찰텐 프로,2022,2P,16247885
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,엘 찰텐,2014,2P,2477057
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,엘찰텐 제로본,2023,2P,19182011
제로그램,Zerogram,대한민국,premium,백패킹텐트,1,엘찰텐 제로본,2023,1.5P,19182032
제로그램,Zerogram,대한민국,premium,백패킹텐트,1,엘찰텐 프로,2022,1.5P,16247600
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,PCT UL,,2,3035512
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,PCT UL,,2 MF,6795400
제로그램,Zerogram,대한민국,premium,백패킹텐트,2,블랙뷰트,,2P,14710631
네이처하이크,Naturehike,중국,budget,백패킹텐트,2,클라우드업2 플러스,2023,20D,65224121
네이처하이크,Naturehike,중국,budget,백패킹텐트,2,네뷸라2,,20D,13790693
네이처하이크,Naturehike,중국,budget,백패킹텐트,1,듀반1,,,96583424
네이처하이크,Naturehike,중국,budget,백패킹텐트,2,초경량 텐트2,,,3191509
네이처하이크,Naturehike,중국,budget,백패킹텐트,1,빅1,,,13240367
MIER,MIER,중국,budget,백패킹텐트,1,울트라라이트 1인,,,30157688
캠프밸리,Campvalley,중국,budget,백패킹텐트,2,백패킹 텐트,,,8449113
코베아,Kovea,대한민국,mid,백패킹텐트,2,파라스틱,,,4251097
코베아,Kovea,대한민국,mid,백패킹텐트,2,코어 텐트,,,10560495
네이처하이크,Naturehike,중국,budget,침낭,1,L150 초경량 침낭,,,13679999
네이처하이크,Naturehike,중국,budget,침낭,1,알파인 침낭 P400,,,28209950
네이처하이크,Naturehike,중국,budget,침낭,1,M400 코튼침낭,,,69658202
네이처하이크,Naturehike,중국,budget,침낭,1,XS600 덕다운 패딩 침낭,,,18342473
네이처하이크,Naturehike,중국,budget,침낭,1,CW400 구스다운 M,,,14252183
네이처하이크,Naturehike,중국,budget,침낭,1,NH UL 구스다운,,,5840879
네이처하이크,Naturehike,중국,budget,침낭,1,3계절 미니,,,2831912
네이처하이크,Naturehike,중국,budget,침낭,1,PS200 와이드 코튼,,,15656018
콩맨,Kongman,대한민국,budget,침낭,1,몽고스 초경량,,,4611282
솔베이,Solbae,대한민국,budget,침낭,1,자두 침낭,,,4390823
키밍,Kiming,중국,budget,침낭,1,침낭,,,29878055
코멧,Comet,대한민국,budget,침낭,1,머미형 210x75,,,9647304
네이처하이크,Naturehike,중국,budget,매트,1,경량 자충매트 싱글 3cm,,,15161336
네이처하이크,Naturehike,중국,budget,매트,1,CO35 자충매트 L,,,8558810
네이처하이크,Naturehike,중국,budget,매트,1,빅 싱글 자충매트 10,,,13225217
엑스패드,Exped,스위스,premium,매트,1,다운매트 7 LW,,,2024566
엑스패드,Exped,스위스,premium,매트,1,다운매트 9 LW,,,1897892
엑스패드,Exped,스위스,premium,매트,1,다운매트 UL 9 LW,,,2165660
써머레스트,Therm-a-Rest,미국,premium,매트,1,네오에어 매트 S,,,1904792
써머레스트,Therm-a-Rest,미국,premium,매트,1,40주년 기념 매트 R,,,1904781
네이처하이크,Naturehike,중국,budget,매트,2,자충매트 파인 6.0,,,17881985
네이처하이크,Naturehike,중국,budget,매트,2,빅 더블 자충매트 10cm,,,13375676
네이처하이크,Naturehike,중국,budget,매트,2,펌프내장 12cm 더블플러스,,,33362102
엑스패드,Exped,스위스,premium,매트,2,메가매트 듀오,,,5418425
네이처하이크,Naturehike,중국,budget,매트,3,20cm 자충 에어매트,,,19623221
